,,,일반성분 Proximates,,,,,,,,아미노산 Amino acids,,,지방산 Fatty acids,,,,,콜레,식염,폐기율,출처,,,,무기질 Minerals,,,,,,,,,,,,비타민 Vitamins,,,,,,,,,,,,,,출처
색인,식품코드,식품명,에너지,수분,단백질,지질,회분,"탄수
화물",총 당류,"총 
식이섬유",총 ,필수 ,비필수 ,총,총 필수,총 포화 ,"총 단일
불포화","총 다중
불포화",스테롤,상당량,,,색인,식품코드,식품명,칼슘,철,마그네슘,인,칼륨,나트륨,아연,구리,망간,셀레늄,몰리브덴,요오드,레티놀,베타카로틴,비타민 D,비타민 E,비타민 K1,비타민 B1,비타민 B2,니아신,판토텐산,비타민 B6,비오틴,"엽산
(DFE)",비타민 B12,비타민 C,
Index,Food Code,Food and Description,ENERC,WATER,PROCNP,FAT,ASH,CHOTDF,SUGAR,FIBTG,AAT19,AAE10A,AANE,FAFREF,FAESSF,FASATF,FAMSF,FAPUF,CHOLE,NACL,Ref,Source,Index,Food Code,Food and Description,CA,FE,MG,P,K,NA,ZN,CU,MN,SE,MO,ID,RETOL,CARTB,VITD,VITE,VITK1,THIA,RIBF,NIA,PANTAC,PYRXN,BIOT,FOL,VITB12,VITC,Source
,,,kcal,g,g,g,g,g,g,g,mg,mg,mg,g,g,g,g,g,mg,g,%,,,,,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,mg,μg,mg,mg,mg,mg,mg,μg,μg,μg,mg,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A008000A030a,"멥쌀, 백미, 생것",363 ,13.4 ,6.4 ,0.4 ,0.4 ,79.5 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('11),17,A008000A030a,"멥쌀, 백미, 생것",7 ,1.3 ,-,87 ,170 ,8 ,-,-,-,-,-,-,0 ,4 ,-,-,-,0.23 ,0.02 ,1.2,-,-,-,-,-,0 ,농진청('11)
,,"Rice, White, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A008000A035a,"멥쌀, 백미, 가루 ",362 ,14.0,6.2 ,0.9 ,0.4 ,78.5 ,0.1 ,0.6 ,6115 ,-,-,(0.81),-,(0.29),(0.21),(0.31),(0),0,0 ,JAPAN('15),18,A008000A035a,"멥쌀, 백미, 가루 ",5 ,0.8 ,23 ,96 ,89 ,2 ,1.0,0.19 ,0.75 ,4 ,77 ,1 ,(0),-,(0),0.2 ,(0),0.09 ,0.02 ,1.3,0.67 ,0.12 ,1.1 ,12 ,(0),(0),JAPAN('15)
,,"Rice, White, Powder",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, Powder",,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A008000A050a,"멥쌀, 칠분도미, 생것",368 ,12.3 ,6.9 ,1.1 ,0.6 ,79.1 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,국('77),19,A008000A050a,"멥쌀, 칠분도미, 생것",24 ,0.9 ,-,179 ,170 ,2 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.19 ,0.05 ,2.7,-,-,-,-,-,0 ,국('77)
,,"Rice, Brown, 94.4% milling yield, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, Brown, 94.4% milling yield, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A008002A030a,"멥쌀, 고아미2호, 백미, 생것",379 ,10.9 ,8.9 ,2.7 ,1.1 ,76.4 ,-,-,-,-,-,-,-,-,-,-,-,0.1 ,0 ,농진청('03),20,A008002A030a,"멥쌀, 고아미2호, 백미, 생것",4 ,3.0 ,-,210 ,236 ,21 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.19 ,0.06 ,1.9,-,-,-,-,-,0 ,농진청('03)
,,"Rice, White, Goami2, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, Goami2, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A008002A060a,"멥쌀, 고아미2호, 현미, 생것",374 ,10.6 ,9.6 ,4.6 ,1.9 ,73.3 ,-,-,-,-,-,-,-,-,-,-,-,0.1 ,0 ,농진청('03),21,A008002A060a,"멥쌀, 고아미2호, 현미, 생것",4 ,2.8 ,-,327 ,396 ,26 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.26 ,0.11 ,3.6,-,-,-,-,-,0 ,농진청('03)
,,"Rice, Brown, Goami2, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, Brown, Goami2, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
