,,,일반성분 Proximates,,,,,,,,아미노산 Amino acids,,,지방산 Fatty acids,,,,,콜레,식염,폐기율,출처,,,,무기질 Minerals,,,,,,,,,,,,비타민 Vitamins,,,,,,,,,,,,,,출처
색인,식품코드,식품명,에너지,수분,단백질,지질,회분,"탄수
화물",총 당류,"총 
식이섬유",총 ,필수 ,비필수 ,총,총 필수,총 포화 ,"총 단일
불포화","총 다중
불포화",스테롤,상당량,,,색인,식품코드,식품명,칼슘,철,마그네슘,인,칼륨,나트륨,아연,구리,망간,셀레늄,몰리브덴,요오드,레티놀,베타카로틴,비타민 D,비타민 E,비타민 K1,비타민 B1,비타민 B2,니아신,판토텐산,비타민 B6,비오틴,"엽산
(DFE)",비타민 B12,비타민 C,
Index,Food Code,Food and Description,ENERC,WATER,PROCNP,FAT,ASH,CHOTDF,SUGAR,FIBTG,AAT19,AAE10A,AANE,FAFREF,FAESSF,FASATF,FAMSF,FAPUF,CHOLE,NACL,Ref,Source,Index,Food Code,Food and Description,CA,FE,MG,P,K,NA,ZN,CU,MN,SE,MO,ID,RETOL,CARTB,VITD,VITE,VITK1,THIA,RIBF,NIA,PANTAC,PYRXN,BIOT,FOL,VITB12,VITC,Source
,,,kcal,g,g,g,g,g,g,g,mg,mg,mg,g,g,g,g,g,mg,g,%,,,,,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,mg,μg,mg,mg,mg,mg,mg,μg,μg,μg,mg,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Salt, Sun-dried salt ",,,,,,,,,,,,,,,,,,,,,,,"Salt, Sun-dried salt ",,,,,,,,,,,,,,,,,,,,,,,,,,,
2788,R0200032439a,"소금, 천일염, 가는소금",24 ,1.6 ,0.06 ,0 ,92.39 ,5.95 ,0 ,2.0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,84.9 ,0 ,농진청('15),2788,R0200032439a,"소금, 천일염, 가는소금",142 ,0.65 ,1150 ,0 ,491 ,33417 ,0 ,0 ,0.401 ,49.99 ,7.93 ,13.70 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,농진청('15)
,,"Salt, Sun-dried salt, Fine salt",,,,,,,,,,,,,,,,,,,,,,,"Salt, Sun-dried salt, Fine salt",,,,,,,,,,,,,,,,,,,,,,,,,,,
2789,R0200031859a,"소금, 천일염, 굵은소금",15 ,4.9 ,0 ,0 ,91.23 ,3.87 ,0 ,1.8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,86.9 ,0 ,농진청('15),2789,R0200031859a,"소금, 천일염, 굵은소금",114 ,0.73 ,506 ,0 ,383 ,34205 ,0 ,0 ,0.180 ,21.08 ,4.52 ,15.60 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,농진청('15)
,,"Salt, Sun-dried salt, Coarse salt",,,,,,,,,,,,,,,,,,,,,,,"Salt, Sun-dried salt, Coarse salt",,,,,,,,,,,,,,,,,,,,,,,,,,,
2790,R0200031879a,"소금, 천일염, 소금꽃",21 ,3.7 ,0 ,0 ,91.0 ,5.3 ,-,-,-,-,-,-,-,-,-,-,-,103.2 ,0 ,농진청('11),2790,R0200031879a,"소금, 천일염, 소금꽃",58 ,5.8 ,-,-,96 ,40626 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,농진청('11)
,,"Salt, Sun-dried salt, Flower salt",,,,,,,,,,,,,,,,,,,,,,,"Salt, Sun-dried salt, Flower salt",,,,,,,,,,,,,,,,,,,,,,,,,,,
2791,R0200031889a,"소금, 천일염, 토판염",16 ,4.8 ,0 ,0 ,91.1 ,4.1 ,-,-,-,-,-,-,-,-,-,-,-,98.2 ,0 ,농진청('11),2791,R0200031889a,"소금, 천일염, 토판염",62 ,6.2 ,-,-,46 ,38659 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,농진청('11)
,,"Salt, Sun-dried salt, Gray salt",,,,,,,,,,,,,,,,,,,,,,,"Salt, Sun-dried salt, Gray salt",,,,,,,,,,,,,,,,,,,,,,,,,,,
2792,R0200041879a,"소금, 프랑스, 소금꽃",11 ,4.2 ,0 ,0 ,93.0 ,2.8 ,-,-,-,-,-,-,-,-,-,-,-,93.2 ,-,농진청('11),2792,R0200041879a,"소금, 프랑스, 소금꽃",120 ,5.1 ,-,-,132 ,36693 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,농진청('11)
,,"Salt, France, Gray salt, Flower salt",,,,,,,,,,,,,,,,,,,,,,,"Salt, France, Gray salt, Flower salt",,,,,,,,,,,,,,,,,,,,,,,,,,,
2793,R0200041889a,"소금, 프랑스, 토판염",16 ,5.7 ,0 ,0 ,90.3 ,4.0 ,-,-,-,-,-,-,-,-,-,-,-,100.6 ,-,농진청('11),2793,R0200041889a,"소금, 프랑스, 토판염",149 ,26.4 ,-,-,125 ,39612 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,농진청('11)
,,"Salt, France, Gray salt",,,,,,,,,,,,,,,,,,,,,,,"Salt, France, Gray salt",,,,,,,,,,,,,,,,,,,,,,,,,,,
2794,R021000000Va,"스파게티 소스, 병조림",81 ,80.4 ,1.52 ,2.40 ,2.25 ,13.43 ,6.72 ,2.7 ,1485 ,271 ,1214 ,2.30 ,1.19 ,0.36 ,0.74 ,1.19 ,0 ,1.5 ,0 ,농진청('16),2794,R021000000Va,"스파게티 소스, 병조림",34 ,0.74 ,18 ,30 ,340 ,585 ,0.17 ,0.064 ,0.104 ,14.48 ,5.85 ,0 ,0 ,479 ,0 ,2.10 ,0 ,0.077 ,0.041 ,0.605 ,0 ,0.009 ,0 ,14 ,0 ,0.35 ,농진청('16)
,,"Spaghetti sauce, Bottled ",,,,,,,,,,,,,,,,,,,,,,,"Spaghetti sauce, Bottled ",,,,,,,,,,,,,,,,,,,,,,,,,,,
2795,R0220010009a,"식초, 감식초",14 ,90.9 ,tr,0 ,0.1 ,3.5 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('96),2795,R0220010009a,"식초, 감식초",3 ,0.1 ,-,8 ,15 ,3 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.01 ,0.01 ,0.1,-,-,-,-,-,0 ,농진청('96)
,,"Vinegar, Persimmon, With acetic acid 5.5% Brewing ",,,,,,,,,,,,,,,,,,,,,,,"Vinegar, Persimmon, With acetic acid 5.5% Brewing ",,,,,,,,,,,,,,,,,,,,,,,,,,,
2796,R0220020009a,"식초, 배식초",43 ,89.0 ,0.2 ,0 ,0.3 ,10.5 ,-,-,-,-,-,-,-,-,-,-,-,0.1 ,0 ,농진청('00),2796,R0220020009a,"식초, 배식초",6 ,0.5 ,-,9 ,185 ,20 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.01 ,0.01 ,0.1,-,-,-,-,-,0 ,농진청('00)
,,"Vinegar, Pear ",,,,,,,,,,,,,,,,,,,,,,,"Vinegar, Pear ",,,,,,,,,,,,,,,,,,,,,,,,,,,
2797,R0220030009a,"식초, 사과식초",11 ,92.2 ,0 ,0 ,0.1 ,2.7 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('96),2797,R0220030009a,"식초, 사과식초",3 ,0.1 ,-,5 ,12 ,2 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.01 ,0.01 ,0.1,-,-,-,-,-,0 ,농진청('96)
,,"Vinegar, Apple, With acetic acid 5.0% ",,,,,,,,,,,,,,,,,,,,,,,"Vinegar, Apple, With acetic acid 5.0% ",,,,,,,,,,,,,,,,,,,,,,,,,,,
2798,R0220040009a,"식초, 쌀식초",46 ,87.9 ,0.2 ,0,0.1 ,7.4 ,-,(0),-,-,-,-,-,-,-,-,(0),0,0 ,JAPAN('15),2798,R0220040009a,"식초, 쌀식초",2 ,0.1 ,6 ,15 ,16 ,12 ,0.2 ,Tr,-,Tr,4 ,0,0,-,(0),-,(0),0.01 ,0.01 ,0.3,0.08 ,0.02 ,0.4 ,0,0.1 ,0,JAPAN('15)
,,"Vinegar, Rice, With acetic 4.5% ",,,,,,,,,,,,,,,,,,,,,,,"Vinegar, Rice, With acetic 4.5% ",,,,,,,,,,,,,,,,,,,,,,,,,,,
2799,R0220050009a,"식초, 알로에식초",12 ,91.4 ,0.1 ,0 ,0.5 ,3.0 ,-,-,-,-,-,-,-,-,-,-,-,0.1 ,0 ,농진청('99),2799,R0220050009a,"식초, 알로에식초",106 ,0.7 ,-,4 ,95 ,39 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.01 ,0.01 ,0.2,-,-,-,-,-,0 ,농진청('99)
,,"Vinegar, Aloe ",,,,,,,,,,,,,,,,,,,,,,,"Vinegar, Aloe ",,,,,,,,,,,,,,,,,,,,,,,,,,,
2800,R0220060009a,"식초, 양조",1 ,99.6 ,0.02 ,0 ,0.04 ,0.34 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,농진청('16),2800,R0220060009a,"식초, 양조",3 ,0 ,1 ,11 ,2 ,1 ,0 ,0 ,0.024 ,0.34 ,0.03 ,0 ,0 ,0 ,0 ,0.02 ,0 ,0.015 ,0 ,0.006 ,0 ,0 ,0 ,0 ,0 ,0 ,농진청('16)
,,"Vinegar, Brewing ",,,,,,,,,,,,,,,,,,,,,,,"Vinegar, Brewing ",,,,,,,,,,,,,,,,,,,,,,,,,,,
2801,R0220070009a,"식초, 포도식초",22 ,93.7 ,0.1 ,Tr,0.2 ,1.2 ,-,0,-,-,-,-,-,-,-,-,0,0,0 ,JAPAN('15),2801,R0220070009a,"식초, 포도식초",3 ,0.2 ,2 ,8 ,22 ,4 ,Tr,0.01 ,0.03 ,0,1 ,Tr,(0),Tr,Tr,0 ,(Tr),Tr,Tr,Tr,0.08 ,Tr,0.1 ,Tr,0.1 ,Tr,JAPAN('15)
,,"Vinegar, Grape, With acetic acid 4.8% ",,,,,,,,,,,,,,,,,,,,,,,"Vinegar, Grape, With acetic acid 4.8% ",,,,,,,,,,,,,,,,,,,,,,,,,,,
2802,R0220100009a,"식초, 포도주",19 ,94.47 ,0.04 ,0 ,0.17 ,0.27 ,0 ,0 ,-,-,-,0 ,-,0 ,-,-,-,0 ,-,USDA('15),2802,R0220100009a,"식초, 포도주",6 ,0.45 ,4 ,8 ,39 ,8 ,0.03 ,0.010 ,0.046 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5 ,USDA('15)
,,"Vinegar, Red wine",,,,,,,,,,,,,,,,,,,,,,,"Vinegar, Red wine",,,,,,,,,,,,,,,,,,,,,,,,,,,
2803,R0220080009a,"식초, 현미식초",19 ,90.2 ,0 ,0 ,0.1 ,4.7 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('96),2803,R0220080009a,"식초, 현미식초",3 ,0.1 ,-,6 ,8 ,2 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.01 ,0.01 ,0.1,-,-,-,-,-,0 ,농진청('96)
,,"Vinegar, Brown rice, With acetic acid 5.0% ",,,,,,,,,,,,,,,,,,,,,,,"Vinegar, Brown rice, With acetic acid 5.0% ",,,,,,,,,,,,,,,,,,,,,,,,,,,
2804,R0230000009a,쌈장,240 ,38.4 ,9.88 ,4.81 ,7.73 ,39.18 ,25.71 ,9.7 ,8522 ,3477 ,5045 ,4.60 ,2.77 ,0.73 ,1.09 ,2.77 ,0 ,6.7 ,0 ,농진청('15),2804,R0230000009a,쌈장,62 ,1.76 ,56 ,137 ,472 ,2619 ,0.99 ,0.202 ,0.824 ,16.38 ,55.12 ,0 ,0 ,615 ,0 ,1.92 ,0 ,0.128 ,0.108 ,1.079,0 ,0.041 ,0 ,33 ,0 ,0 ,농진청('15)
,,Ssamjang(Mixed soybean paste with red pepper paste),,,,,,,,,,,,,,,,,,,,,,,Ssamjang(Mixed soybean paste with red pepper paste),,,,,,,,,,,,,,,,,,,,,,,,,,,
2805,R0560000005a,"양파, 가루 ",364 ,5.0,8.8 ,1.1 ,5.3 ,79.8 ,-,-,6705 ,-,-,(0.73),-,(0.23),(0.21),(0.28),(0),0 ,0 ,JAPAN('15),2805,R0560000005a,"양파, 가루 ",140 ,3.1 ,160 ,290 ,1300 ,52 ,3.2 ,0.55 ,1.90,-,-,-,(0),-,(0),-,-,0.30,0.10,0.6,-,-,-,-,(0),10 ,JAPAN('15)
,,"Onion, Powder",,,,,,,,,,,,,,,,,,,,,,,"Onion, Powder",,,,,,,,,,,,,,,,,,,,,,,,,,,
2806,R0610000001a,"오레가노, 말린것",265 ,9.93 ,9.00 ,4.28 ,7.87 ,68.92 ,4.09 ,42.5 ,9434 ,-,-,3.636 ,-,1.551 ,0.716 ,1.369 ,0 ,0.1 ,-,USDA('15),2806,R0610000001a,"오레가노, 말린것",1597 ,36.80 ,270 ,148 ,1260 ,25 ,2.69 ,0.633 ,4.990 ,4.5 ,-,-,0 ,1007 ,0 ,43.60 ,621.7 ,0.177 ,0.528 ,4.640,0.921 ,1.044 ,-,237 ,0 ,2.3 ,USDA('15)
,,"Herb, Oregano, Dried",,,,,,,,,,,,,,,,,,,,,,,"Herb, Oregano, Dried",,,,,,,,,,,,,,,,,,,,,,,,,,,
2807,R0250000005a,"올스파이스, 가루 ",374 ,9.2 ,5.6 ,5.6 ,4.4 ,75.2 ,-,-,-,-,-,(3.56),-,(1.61),(0.43),(1.52),(0),0 ,0 ,JAPAN('15),2807,R0250000005a,"올스파이스, 가루 ",710 ,4.7 ,130 ,110 ,1300 ,53 ,1.2 ,0.53 ,0.72 ,-,-,-,0,31 ,(0),-,-,0,0.05 ,2.9,-,-,-,(0),(0),0,JAPAN('15)
,,"Allspice, Powder ",,,,,,,,,,,,,,,,,,,,,,,"Allspice, Powder ",,,,,,,,,,,,,,,,,,,,,,,,,,,
2808,R0260000009a,우스터 소스,74 ,76.5 ,0.5 ,0.1 ,5.3 ,17.7 ,-,-,-,-,-,-,-,-,-,-,-,4.2 ,0 ,식약('96),2808,R0260000009a,우스터 소스,35 ,0.8 ,-,13 ,230 ,1671 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.02 ,0.01 ,0.1,-,-,-,-,-,0 ,식약('96)
,,Worcester sauce ,,,,,,,,,,,,,,,,,,,,,,,Worcester sauce ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809,R048000B141a,"월계수, 잎, 말린것",313 ,5.44 ,7.61 ,8.36 ,3.62 ,74.97 ,-,26.3 ,-,-,-,6.210 ,-,2.280 ,1.640 ,2.290 ,0 ,0.1 ,-,USDA('15),2809,R048000B141a,"월계수, 잎, 말린것",834 ,43.00 ,120 ,113 ,529 ,23 ,3.70 ,0.416 ,8.167 ,2.8 ,-,-,0 ,-,0 ,-,-,0.009 ,0.421 ,2.005,-,1.740 ,-,180 ,0 ,46.5 ,USDA('15)
,,"Bay Leaves, Dried ",,,,,,,,,,,,,,,,,,,,,,,"Bay Leaves, Dried ",,,,,,,,,,,,,,,,,,,,,,,,,,,
2810,R0270000009a,육두구,559 ,6.3 ,5.7 ,38.5 ,2.0,47.5 ,-,-,-,-,-,(29.26),-,(10.76),(13.28),(5.22),(0),0,0 ,JAPAN('15),2810,R0270000009a,육두구,160 ,2.5 ,180 ,210 ,430 ,15 ,1.3 ,1.20,2.68 ,-,-,-,(0),-,(0),-,-,0.05 ,0.10,0.5,-,-,-,(0),(0),(0),JAPAN('15)
,,Nutmeg(Myristica fragrans Houtt.),,,,,,,,,,,,,,,,,,,,,,,Nutmeg(Myristica fragrans Houtt.),,,,,,,,,,,,,,,,,,,,,,,,,,,
2811,R0290000005a,"정향, 가루 ",417 ,7.5 ,7.2 ,13.6 ,5.3 ,66.4 ,-,-,5976 ,-,-,(9.24),-,(4.11),(1.46),(3.68),(0),1 ,0 ,JAPAN('15),2811,R0290000005a,"정향, 가루 ",640 ,9.9 ,250 ,95 ,1400 ,280 ,1.1 ,0.39 ,93.00,-,-,-,(0),120 ,(0),-,-,0.04 ,0.27 ,0.9,-,-,-,(0),(0),(0),JAPAN('15)
,,"Clove, Powder ",,,,,,,,,,,,,,,,,,,,,,,"Clove, Powder ",,,,,,,,,,,,,,,,,,,,,,,,,,,
2812,R0310000009a,조미료,257 ,2.2 ,5.86 ,4.09 ,38.78 ,49.07 ,14.87 ,0 ,4613 ,1801 ,2812 ,3.90 ,0.11 ,1.59 ,2.07 ,0.11 ,8.04 ,40.2 ,0 ,농진청('16),2812,R0310000009a,조미료,91 ,0.81 ,358 ,211 ,566 ,15836 ,1.17 ,0.016 ,0.329 ,19.22 ,8.15 ,128.49 ,0 ,0 ,0 ,0.05 ,0 ,0.230 ,1.071 ,0.385 ,2.494 ,0.063 ,0 ,247 ,0 ,0 ,농진청('16)
,,Seasoning,,,,,,,,,,,,,,,,,,,,,,,Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813,R0310001895a,"조미료, 멸치맛, 가루 ",234 ,3.9 ,22.0 ,4.8 ,43.6 ,25.7 ,-,-,-,-,-,-,-,-,-,-,-,39.5 ,0 ,식약('96),2813,R0310001895a,"조미료, 멸치맛, 가루 ",465 ,3.4 ,-,799 ,954 ,15570 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.37 ,0.21 ,6.0,-,-,-,-,-,0 ,식약('96)
,,"Seasoning, Anchovy flavored, Powder",,,,,,,,,,,,,,,,,,,,,,,"Seasoning, Anchovy flavored, Powder",,,,,,,,,,,,,,,,,,,,,,,,,,,
2814,R0310001905a,"조미료, 쇠고기맛, 가루 ",225 ,4.2 ,13.5 ,3.8 ,44.3 ,34.2 ,-,-,-,-,-,-,-,-,-,-,-,66.6 ,0 ,농진청('00),2814,R0310001905a,"조미료, 쇠고기맛, 가루 ",16 ,1.9 ,-,86 ,241 ,26237 ,-,-,-,-,-,-,16 ,0 ,-,-,-,0.63 ,0.19 ,5.1,-,-,-,-,-,tr,농진청('00)
,,"Seasoning, Beef flavored, Powder",,,,,,,,,,,,,,,,,,,,,,,"Seasoning, Beef flavored, Powder",,,,,,,,,,,,,,,,,,,,,,,,,,,
2815,R0310010009a,"조미료, 액상",77 ,65.6 ,6.19 ,0 ,15.19 ,13.02 ,0 ,0 ,6234 ,2172 ,4062 ,0 ,0 ,0 ,0 ,0 ,0 ,15.7 ,0 ,농진청('16),2815,R0310010009a,"조미료, 액상",9 ,0.60 ,33 ,116 ,319 ,6166 ,0.30 ,0.003 ,0.319 ,2.09 ,6.94 ,1.92 ,0 ,0 ,0 ,0.07 ,0 ,0.005 ,0.025 ,0.378 ,0.283 ,0 ,0 ,83 ,0 ,2.17 ,농진청('16)
,,"Seasoning, Liquid",,,,,,,,,,,,,,,,,,,,,,,"Seasoning, Liquid",,,,,,,,,,,,,,,,,,,,,,,,,,,
2816,R0300000005a,"조미소, 가루 ",174 ,2.7 ,16.6 ,0.8 ,54.8 ,25.1 ,-,-,-,-,-,-,-,-,-,-,-,-,0 ,국('78),2816,R0300000005a,"조미소, 가루 ",113 ,20.0 ,-,68 ,-,-,-,-,-,-,-,-,0 ,0 ,-,-,-,1.91 ,0.50 ,6.0,-,-,-,-,-,2 ,국('78)
,,Modified soybean sauce ,,,,,,,,,,,,,,,,,,,,,,,Modified soybean sauce ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817,R0280000009a,짜장 소스,189 ,47.6 ,13.2 ,4.3 ,10.6 ,24.3 ,-,-,-,-,-,-,-,-,-,-,-,8.2 ,0 ,식약('96),2817,R0280000009a,짜장 소스,60 ,2.5 ,-,175 ,564 ,3227 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.06 ,0.12 ,1.1,-,-,-,-,-,0 ,식약('96)
,,Jajang sauce(Black bean sauce),,,,,,,,,,,,,,,,,,,,,,,Jajang sauce(Black bean sauce),,,,,,,,,,,,,,,,,,,,,,,,,,,
2818,R0280000005a,"짜장 소스, 가루",351 ,3.2 ,10.93 ,4.30 ,14.39 ,67.18 ,11.49 ,5.4 ,6578 ,2167 ,4411 ,4.11 ,1.31 ,1.55 ,1.23 ,1.31 ,0 ,14.0 ,0 ,농진청('14),2818,R0280000005a,"짜장 소스, 가루",58 ,1.21 ,38 ,166 ,280 ,5502 ,0.71 ,0.102 ,0.804 ,35.46 ,21.39 ,20.56 ,0 ,0 ,0 ,3.13 ,0 ,0.064 ,-,-,0.821 ,0 ,0 ,86 ,0 ,0 ,농진청('14)
,,"Jajang sauce(Black bean sauce), Powder",,,,,,,,,,,,,,,,,,,,,,,"Jajang sauce(Black bean sauce), Powder",,,,,,,,,,,,,,,,,,,,,,,,,,,
2819,R028000000Wa,"짜장 소스, 레토르트",93 ,79.1 ,2.42 ,3.22 ,1.76 ,13.50 ,0 ,1.4 ,1650 ,646 ,1004 ,3.08 ,1.71 ,0.41 ,0.92 ,1.71 ,0 ,1.4 ,0 ,농진청('14),2819,R028000000Wa,"짜장 소스, 레토르트",110 ,0.33 ,14 ,48 ,147 ,539 ,0.24 ,0.017 ,0.134 ,4.10 ,3.41 ,319.93 ,0 ,0 ,0 ,1.76 ,0 ,0.082 ,0.539 ,2.667,0 ,0.008 ,0 ,78 ,0 ,0 ,농진청('14)
,,"Jajang sauce(Black bean sauce), Retort pouched ",,,,,,,,,,,,,,,,,,,,,,,"Jajang sauce(Black bean sauce), Retort pouched ",,,,,,,,,,,,,,,,,,,,,,,,,,,
2820,R0320000009a,청국장,108 ,70.7 ,10.2 ,0.8 ,3.4 ,14.9 ,-,-,-,-,-,-,-,-,-,-,-,2.4 ,-,농진청('08),2820,R0320000009a,청국장,96 ,3.8 ,-,177 ,602 ,961 ,-,-,-,-,-,-,0 ,80 ,-,-,-,0.15 ,0.29 ,1.5,-,-,-,-,-,0 ,농진청('08)
,,Cheonggukjang(Fermented soybean paste),,,,,,,,,,,,,,,,,,,,,,,Cheonggukjang(Fermented soybean paste),,,,,,,,,,,,,,,,,,,,,,,,,,,
2821,R0320000005a,"청국장, 가루 ",411 ,4.4 ,38.8 ,16.4 ,11.6 ,28.8 ,-,-,-,-,-,-,-,-,-,-,-,6.3 ,-,농진청('02),2821,R0320000005a,"청국장, 가루 ",207 ,9.0 ,-,626 ,1665 ,2487 ,-,-,-,-,-,-,-,0 ,-,-,-,0.18 ,0.67 ,0.5,-,-,-,-,-,0 ,농진청('02)
,,"Cheonggukjang(Fermented soybean paste), Powder ",,,,,,,,,,,,,,,,,,,,,,,"Cheonggukjang(Fermented soybean paste), Powder ",,,,,,,,,,,,,,,,,,,,,,,,,,,
2822,R0320002419a,"청국장, 찌개용",136 ,64.0 ,10.93 ,5.88 ,8.77 ,10.42 ,1.55 ,7.3 ,10932 ,5637 ,5295 ,5.63 ,3.45 ,0.96 ,1.20 ,3.46 ,0 ,7.8 ,0 ,농진청('16),2822,R0320002419a,"청국장, 찌개용",81 ,1.75 ,59 ,184 ,460 ,3083 ,1.11 ,0.256 ,0.685 ,44.21 ,88.08 ,26.46 ,0 ,87 ,0 ,4.20 ,0 ,0.088 ,0.373 ,1.247 ,11.497 ,0.056 ,0 ,227 ,0 ,12.37 ,농진청('16)
,,"Cheonggukjang(Fermented soybean paste), For stew",,,,,,,,,,,,,,,,,,,,,,,"Cheonggukjang(Fermented soybean paste), For stew",,,,,,,,,,,,,,,,,,,,,,,,,,,
2823,R0060000009a,초고추장,211 ,35.5 ,3.79 ,1.17 ,5.76 ,53.78 ,36.02 ,2.4 ,3254 ,1247 ,2007 ,1.12 ,0.68 ,0.25 ,0.19 ,0.68 ,0 ,5.0 ,0 ,농진청('16),2823,R0060000009a,초고추장,19 ,1.27 ,32 ,82 ,247 ,1962 ,0.60 ,0.086 ,0.891 ,10.93 ,6.11 ,0 ,0 ,2017 ,0 ,2.38 ,0 ,-,0.186 ,0.465 ,0 ,0.079 ,0 ,30 ,0 ,0 ,농진청('16)
,,Fermented red chili-pepper paste with vinegar and sugar ,,,,,,,,,,,,,,,,,,,,,,,Fermented red chili-pepper paste with vinegar and sugar ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2824,R0580000009a,춘장,206 ,44.0 ,11.80 ,4.16 ,9.58 ,30.46 ,8.06 ,7.9 ,8706 ,3545 ,5161 ,3.98 ,2.44 ,0.67 ,0.87 ,2.44 ,0 ,8.6 ,0 ,농진청('14),2824,R0580000009a,춘장,54 ,1.78 ,61 ,156 ,384 ,3399 ,1.08 ,0.232 ,1.033 ,70.82 ,68.65 ,0.43 ,0 ,0 ,0 ,3.62 ,0 ,0.104 ,0.981 ,1.144,0 ,0 ,0 ,221 ,0 ,0 ,농진청('14)
,,Chunjang(Black bean paste),,,,,,,,,,,,,,,,,,,,,,,Chunjang(Black bean paste),,,,,,,,,,,,,,,,,,,,,,,,,,,
2825,R0620000009a,칠리 소스,115 ,67.3 ,1.8 ,0.1 ,3.9 ,26.3 ,-,1.9 ,-,-,-,(0.05),-,(0.02),(0.01),(0.03),(0),3.0,0 ,JAPAN('15),2825,R0620000009a,칠리 소스,27 ,0.9 ,23 ,32 ,500 ,1200 ,0.2 ,0.15 ,0.15 ,-,-,-,(0),500 ,(0),2.6 ,5 ,0.07 ,0.07 ,1.5,0.32 ,0.15 ,-,5 ,0,(Tr),JAPAN('15)
,,"Tomato products, chili sauce",,,,,,,,,,,,,,,,,,,,,,,"Tomato products, chili sauce",,,,,,,,,,,,,,,,,,,,,,,,,,,
2826,R0330000005a,"칠리, 가루 ",374 ,3.8 ,15.0,8.2 ,12.9 ,60.1 ,-,-,11128 ,-,-,(7.86),-,(1.41),(1.84),(4.60),(0),6 ,0 ,JAPAN('15),2826,R0330000005a,"칠리, 가루 ",280 ,29.3 ,210 ,260 ,3000 ,2500 ,2.2 ,1.00,1.62 ,-,-,-,(0),7600 ,(0),-,-,0.25 ,0.84 ,7.2,-,-,-,(0),(0),(0),JAPAN('15)
,,Chili powder ,,,,,,,,,,,,,,,,,,,,,,,Chili powder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2827,R0340000005a,"카레, 가루 ",356 ,3.5 ,10.4 ,14.6 ,13.2 ,58.3 ,-,-,-,-,-,-,-,-,-,-,-,-,0 ,식약('96),2827,R0340000005a,"카레, 가루 ",65 ,5.1 ,-,132 ,531 ,-,-,-,-,-,-,-,0 ,187 ,-,-,-,0.12 ,0.10 ,1.2,-,-,-,-,-,0 ,식약('96)
,,Curry sauce powder ,,,,,,,,,,,,,,,,,,,,,,,Curry sauce powder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2828,R034000000Wa,"카레, 레토르트",72 ,82.7 ,2.47 ,1.89 ,1.55 ,11.39 ,7.48 ,2.8 ,2689 ,1324 ,1365 ,1.81 ,0.42 ,0.39 ,0.92 ,0.42 ,4.41 ,1.2 ,0 ,농진청('16),2828,R034000000Wa,"카레, 레토르트",14 ,0.43 ,10 ,37 ,158 ,482 ,0.33 ,0.033 ,0.139 ,6.13 ,1.85 ,0 ,19 ,81 ,0 ,0.55 ,0 ,0 ,0.046 ,-,0.116 ,0.010 ,0 ,4 ,0 ,0.17 ,농진청('16)
,,"Curry, Retort pouched ",,,,,,,,,,,,,,,,,,,,,,,"Curry, Retort pouched ",,,,,,,,,,,,,,,,,,,,,,,,,,,
