번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g),년도
1595,채소류,"참빗살나무, 잎, 생것 ",100,61,10.3,7.4,0.7,0,2,0,0,0,2011
1596,채소류,"참빗살나무, 잎, 생것 ",100,57,10.3,7.4,0.7,N/A,2,N/A,N/A,0,2017
1597,채소류,"참죽나물, 마른것 ",100,280,57,27.9,1,0,37,0,0,0,2011
1598,채소류,"참죽나물, 마른것 ",100,247,57,27.9,1,N/A,37,N/A,N/A,0,2017
1599,채소류,"창출나물,창출나물",100,40,7.9,5.3,1.3,0,N/A,0,0,0,2006
1600,채소류,"창출나물,창출나물",100,49,7.9,5.3,1.3,N/A,N/A,N/A,N/A,0,2017
1601,채소류,"청경채, 생것 ",100,18,3.5,1.3,0.3,0,15,0,0,0,2011
1602,채소류,"청경채, 생것 ",100,10,1.64,1.41,0.09,0,17,0,0.02,0,2017
1603,채소류,"취나물, 개미취, 생것 ",100,53,11.3,4.2,0.3,0,38,0,0,0,2011
1604,채소류,"취나물, 개미취, 생것 ",100,45,11.3,4.2,0.3,N/A,38,N/A,N/A,0,2017
1605,채소류,"취나물, 미역취, 생것 ",100,48,9.6,3.7,0.6,0,20,0,0,0,2011
1606,채소류,"취나물, 미역취, 생것 ",100,42,9.6,3.7,0.6,N/A,20,N/A,N/A,0,2017
1607,채소류,"취나물, 참취, 건조, 데친것 ",100,55,12.3,3,0.5,0,15,0,0,0,2011
1608,채소류,"취나물, 참취, 건조, 데친것 ",100,45,12.3,3,0.5,N/A,15,N/A,N/A,0,2017
1609,채소류,"취나물, 참취, 데친것 ",100,21,4.6,3,0.4,0,7,0,0,0,2006
1610,채소류,"취나물, 참취, 데친것 ",100,40,10.54,2.77,0.5,0.63,8,0,0.08,0,2017
1611,채소류,"취나물, 참취, 마른것 ",100,265,53.6,22.2,2.3,0,N/A,0,0,0,2011
1612,채소류,"취나물, 참취, 마른것 ",100,229,53.6,22.2,2.3,N/A,N/A,N/A,N/A,0,2017
1613,채소류,"취나물, 참취, 생것 ",100,30,5.9,3.1,0.2,0,4,0,0.06,0,2011
1614,채소류,"취나물, 참취, 생것 ",100,41,11.66,2.61,0.38,2.55,5,0,0.07,0,2017
1615,채소류,"치커리, 뿌리, 생것 ",100,72,17.5,1.4,0.2,0,50,0,0,0,2011
1616,채소류,"치커리, 뿌리, 생것 ",100,72,17.51,1.4,0.2,8.73,50,0,0.05,0,2017
1617,채소류,"치커리, 적치커리, 잎, 생것 ",100,25,5,2.3,0.2,0,57,0,0,0,2011
1618,채소류,"치커리, 적치커리, 잎, 생것 ",100,22,5,2.3,0.2,N/A,57,N/A,N/A,0,2017
1619,채소류,"칠면초, 생것 ",100,27,5,2.7,0.3,0,673,0,0,0,2011
1620,채소류,"칠면초, 생것 ",100,24,5,2.7,0.3,N/A,673,N/A,N/A,0,2017
1621,채소류,"케일, 꽃케일, 생것 ",100,33,6.5,3.3,0.2,0,103,0,0,0,2011
1622,채소류,"케일, 꽃케일, 생것 ",100,29,6.5,3.3,0.2,N/A,103,N/A,N/A,0,2017
1623,채소류,"케일, 로얄채, 생것 ",100,49,11.1,2.7,0.3,0,11,0,0,0,2011
1624,채소류,"케일, 로얄채, 생것 ",100,39,11.1,2.7,0.3,N/A,11,N/A,N/A,0,2017
1625,채소류,"케일, 생것 ",100,43,7.3,5,0.6,0,43,0,0,0,2011
1626,채소류,"케일, 생것 ",100,24,4.61,3.11,0.24,0,47,0,0.05,0,2017
1627,채소류,"콜라비, 데친것 ",100,21,5.2,1,trace,0,7,0,0,0,2011
1628,채소류,"콜라비, 데친것 ",100,21,5.2,1,0,2.3,7,0,N/A,0,2017
1629,채소류,"콜라비, 생것 ",100,28,5.6,1.6,0.5,0,10,0,0,0,2011
1630,채소류,"콜라비, 생것 ",100,17,5.16,1.16,0.05,1.55,7,0,0.02,0,2017
1631,채소류,"콩, 잎, 생것 ",100,94,21,6.6,0.3,0,N/A,0,0,0,2011
1632,채소류,"콩, 잎, 생것 ",100,77,21,6.6,0.3,N/A,N/A,N/A,N/A,0,2017
1633,채소류,"콩나물 가공(가루), 콩나물가루 ",100,409,31.7,45.4,11.6,0,41,0,0,0,2011
1634,채소류,"콩나물 가공(가루), 콩나물가루 ",100,410,31.7,45.4,11.6,N/A,41,N/A,N/A,0,2017
1635,채소류,"콩나물, 녹색콩나물, 생것 ",100,35,2.7,4.2,0.9,0,5,0,0,0,2011
1636,채소류,"콩나물, 녹색콩나물, 생것 ",100,29,2.7,4.2,0.9,N/A,5,N/A,N/A,0,2017
1637,채소류,"콩나물, 데친것 ",100,42,3.2,4.6,1.2,0,3,0,0,0,2011
1638,채소류,"콩나물, 데친것 ",100,35,2.55,4.52,1.51,0.62,1,0,0.24,0,2017
1639,채소류,"콩나물, 마른것 ",100,406,32.5,45.7,10.8,0,42,0,0,0,2011
1640,채소류,"콩나물, 마른것 ",100,407,32.5,45.7,10.8,N/A,42,N/A,N/A,0,2017
1641,채소류,"콩나물, 생것 ",100,53,4.7,4.6,1.8,0,3,trace,0.33,0,2011
1642,채소류,"콩나물, 생것 ",100,37,3.8,4.64,1.36,0.35,1,0,0.26,0,2017
1643,채소류,"털머위, 잎, 생것 ",100,51,11.7,1.9,0.6,0,427,0,0,0,2011
1644,채소류,"털머위, 잎, 생것 ",100,40,11.7,1.9,0.6,N/A,427,N/A,N/A,0,2017
1645,채소류,"털머위, 줄기, 생것 ",100,62,16.9,0.5,0.1,0,260,0,0,0,2011
1646,채소류,"털머위, 줄기, 생것 ",100,44,16.9,0.5,0.1,N/A,260,N/A,N/A,0,2017
1647,채소류,"토란대, 줄기, 건조, 데친것",100,20,4.9,0.5,0.1,0,2,0,0,0,2011
1648,채소류,"토란대, 줄기, 건조, 데친것",100,15,4.9,0.5,0.1,N/A,2,N/A,N/A,0,2017
1649,채소류,"토란대, 줄기, 데친것 ",100,20,5.3,0.4,trace,0,1,0,0,0,2011
1650,채소류,"토란대, 줄기, 데친것 ",100,14,5.3,0.4,0,N/A,1,N/A,N/A,0,2017
1651,채소류,"토란대, 줄기, 마른것 ",100,261,65.5,7.4,1.1,0,11,0,0,0,2011
1652,채소류,"토란대, 줄기, 마른것 ",100,195,65.5,7.4,1.1,N/A,11,N/A,N/A,0,2017
1653,채소류,"토란대, 줄기, 생것 ",100,21,5.4,0.7,trace,0,1,0,0,0,2011
1654,채소류,"토란대, 줄기, 생것 ",100,12,4.25,0.28,0.05,1.52,1,0,0.02,0,2017
1655,채소류,"토마토 가공(기타), 토마토페이스트 ",100,20,4.8,0.8,0.1,0,7,0,0,0,2011
1656,채소류,"토마토 가공(기타), 토마토페이스트 ",100,98,19.68,4.22,0.24,11.78,113,0,0.08,0,2017
1657,채소류,"토마토 가공(음료), 토마토주스 ",100,20,4.4,0.9,0.2,0,270,0,0,0,2011
1658,채소류,"토마토 가공(음료), 토마토주스 ",100,38,10.92,0.4,0.02,8.4,27,0,0.01,0,2017
1659,채소류,"토마토 가공(통조림), 토마토퓨레통조림 ",100,89,22,3.8,0.1,0,190,0,0,0,2011
1660,채소류,"토마토 가공(통조림), 토마토퓨레통조림 ",100,41,9.9,1.9,0.1,5.2,19,0,-0.02,0,2017
1661,채소류,"토마토 가공(통조림), 통조림 ",100,20,4.4,0.9,0.2,0,270,0,0,0,2006
1662,채소류,"토마토 가공(통조림), 통조림 ",100,20,4.4,0.9,0.2,3.6,4,0,-0.03,0,2017
1663,채소류,"토마토, 데친것 ",100,17,3.9,0.7,0.2,0,9,0,0,0,2011
1664,채소류,"토마토, 데친것 ",100,14,4.06,0.7,0.14,2.08,2,0,0.03,0,2017
1665,채소류,"토마토, 방울토마토, 생것 ",100,14,3.1,0.8,0.1,0,63,0,0,0,2011
1666,채소류,"토마토, 방울토마토, 생것 ",100,19,6.02,1,0.13,3.89,5,0,0.04,0,2017
1667,채소류,"토마토, 생것 ",100,18,4.5,0.8,0,0,16,0,0,0,2011
1668,채소류,"토마토, 생것 ",100,16,4.26,1.03,0.18,2.37,2,0,0.04,0,2017
1669,채소류,"토마토, 흑토마토, 생것 ",100,41,9.9,1.9,0.1,0,85,0,0,0,2011
1670,채소류,"토마토, 흑토마토, 생것 ",100,15,5.22,0.68,0.04,2.96,2,0,0.02,0,2017
1671,채소류,토마토소스 ,100,44,8.5,2,0.2,0,540,0,0,0,2011
1672,채소류,토마토소스 ,100,44,8.5,2,0.2,5.3,240,0,-0.03,0,2017
1673,채소류,"토스카노(잎브로콜리), 생것 ",100,40,6.7,4.7,0.6,0,189,0,0,0,2011
1674,채소류,"토스카노(잎브로콜리), 생것 ",100,38,6.7,4.7,0.6,N/A,189,N/A,N/A,0,2017
1675,채소류,"파, 생것 ",100,29,6.7,1.2,0.2,0,17,0,0.07,0,2011
1676,채소류,"파, 생것 ",100,22,6.7,1.2,0.2,N/A,17,N/A,N/A,0,2017
1677,채소류,"파드득나물(삼엽채), 생것 ",100,25,5.5,1.8,0.1,0,15,0,0,0,2011
1678,채소류,"파드득나물(삼엽채), 생것 ",100,21,5.5,1.8,0.1,N/A,15,N/A,N/A,0,2017
1679,채소류,"파슬리, 생것 ",100,36,6.8,3.2,0.5,0,35,0,0,0,2011
1680,채소류,"파슬리, 생것 ",100,32,6.8,3.2,0.5,N/A,35,N/A,N/A,0,2017
1681,채소류,"파프리카(착색단고추), 녹색과, 생것 ",100,14,3,1,0.1,0,6,0,0.03,0,2011
