번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g),연도
2695,제빵,치즈할리피뇨베이글,110,338.8,58.3,12.1,6.6,8.8,891,11,2.42,0,2015
2696,제빵,치즈호두빵,75,183.75,0,3.75,0,3.75,195,0,4.5,0,2015
2697,제빵,치즈후레쉬번,72,187.2,0,3.6,0,10.08,237.6,0,2.88,0,2015
2698,제빵,치킨스테이크 프렌치롤,158,695.2,0,33.18,0,9.48,1311.4,0,14.22,0,2015
2699,제빵,치킨카레고로케,110,374,0,8.8,0,14.3,308,0,1.76,0,2015
2700,제빵,칠리핫도그,135,432,0,17.55,0,10.8,1075.95,0,5.67,0,2015
2701,제빵,카라멜너츠머핀,119,636.65,0,10.71,0,33.32,535.5,0,5.59,0,2015
2702,제빵,카라멜도라야끼,60,96,21.6,1.8,1.26,13.2,45,21,0.3,0,2015
2703,제빵,카라멜모카쉬폰,70,161,13.3,1.4,10.5,5.6,78.4,60.2,4.9,0,2015
2704,제빵,카라멜시나몬브레드,100,325.68,44.97,6.44,13.34,11.87,310.59,0,8.15,0,2013
2705,제빵,카스타드 크림빵,72,131.04,23.04,2.88,2.88,8.64,55.44,23.04,1.44,0,2015
2706,제빵,카스테라(미니),72,159.12,27.36,3.6,4.32,18,91.44,114.48,0.72,0,2015
2707,제빵,카스테라찰깨도넛,40,48,0,1.2,0,0.8,80,0,0.44,0,2015
2708,제빵,카카오 후로스티드,48,117.6,12,1.92,7.2,2.88,139.2,0,3.84,0.24,2015
2709,제빵,카카오하니딥,53,127.2,18.02,1.59,6.36,7.95,169.6,0,2.49,0,2015
2710,제빵,카카오하니딥먼치킨,52,127.4,16.64,1.56,6.76,6.76,171.6,0,2.6,0,2015
2711,제빵,카페 헤이즐넛,74,247.9,25.16,2.96,15.54,8.88,118.4,0,6.66,0,2015
2712,제빵,카페마카롱케이크,70,260,23,3,18,17,90,95,8,0.18,2012
2713,제빵,카페모카,55,117.7,12.1,1.65,7.15,8.25,54.45,26.95,3.85,0,2015
2714,제빵,카페모카 페스츄리,70,161,0,2.8,0,7.7,161,0,4.9,0,2015
2715,제빵,카페모카롤,100,445.29,49.06,6.44,24.81,12.4,579.52,0,6.89,0,2013
2716,제빵,카페모카롤케익,60,126,13.8,2.4,6.6,7.8,45,60,1.2,0.3,2015
